"","Replicate","GrowthRate","DoublingTime","r","Intercept","StartingObs","NumberObs","SacrificeOD","Temp","RPM","pH","Volume","Media","Treatment","Col","pch","InoculationDate","ExpName"
"1","Hmaris_1000mM_Rep1",0.02775,24.9745481611906,0.97508,-5.826,3,3,0.096,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"2","Hmaris_1000mM_Rep2",0.05016,13.8189228979558,0.76261,-6.58704,1,3,0.085,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"3","Hmaris_1000mM_Rep3",0.05391,12.8578283953245,0.94501,-6.75873,1,3,0.114,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"4","Hmaris_250mM_Rep1",0.02702,25.6517043891085,0.99843,-5.17472,3,5,0.338,32,100,7.5,50,"CDM","250mM_Mg2+","brown1",16,"20221107","Hmari"
"5","Hmaris_250mM_Rep2",0.05785,11.9824022113727,0.97028,-6.79174,1,3,0.331,32,100,7.5,50,"CDM","250mM_Mg2+","brown1",16,"20221107","Hmari"
"6","Hmaris_250mM_Rep3",0.06427,10.7855592495521,0.84773,-6.59562,1,3,0.356,32,100,7.5,50,"CDM","250mM_Mg2+","brown1",16,"20221107","Hmari"
"7","Hmaris_500mM_Rep1",0.05692,12.1774284868583,0.94471,-6.74994,1,3,0.188,32,100,7.5,50,"CDM","500mM_Mg2+","darkred",16,"20221107","Hmari"
"8","Hmaris_500mM_Rep2",0.05074,13.6607980194333,0.91645,-6.73218,1,3,0.189,32,100,7.5,50,"CDM","500mM_Mg2+","darkred",16,"20221107","Hmari"
"9","Hmaris_500mM_Rep3",0.06131,11.3058955557142,0.90527,-6.68047,1,3,0.191,32,100,7.5,50,"CDM","500mM_Mg2+","darkred",16,"20221107","Hmari"
"10","Hmaris_50mM_Rep1",0.04675,14.8254064578289,0.99977,-6.72632,4,3,0.537,32,100,7.5,50,"CDM","50mM_Mg2+","coral",16,"20221107","Hmari"
"11","Hmaris_50mM_Rep2",0.04632,14.9650643864074,0.99999,-6.74238,4,3,0.503,32,100,7.5,50,"CDM","50mM_Mg2+","coral",16,"20221107","Hmari"
"12","Hmaris_50mM_Rep3",0.04313,16.0699068632054,0.99975,-6.28982,4,3,0.521,32,100,7.5,50,"CDM","50mM_Mg2+","coral",16,"20221107","Hmari"
